question,answer,source,focus_area
What are the treatments for Greig cephalopolysyndactyly syndrome ?,"How might Greig cephalopolysyndactyly syndrome be treated? Treatment for Greig cephalopolysyndactyly syndrome (GCPS) is symptomatic. Treatment might include elective surgical repair of polydactyly. Evaluation and treatment of hydrocephalus might additionally occur if hydrocephalus is present.  Hydrocephalus is a condition characterized by excessive accumulation of fluid in the brain. This fluid is cerebrospinal fluid (CSF) - a clear fluid that surrounds the brain and spinal cord. Excess CSF builds up when it cannot drain from the brain due to a blockage in a passage through which the fluid normally flows. This excess fluid causes an abnormal widening of spaces in the brain called ventricles; this can create harmful pressure on brain tissue. Treatment of hydrocephalus often includes surgical insertion of a shunt system-in which a catheters (tubes) are surgically placed behind both ears. A valve (fluid pump) is placed underneath the skin behind the ear and is connected to both catheters. When extra pressure builds up around the brain, the valve opens, and excess fluid drains through the catheter. This helps lower pressure within the skull (intracranial pressure).",GARD,Greig cephalopolysyndactyly syndrome
What causes Gum (Periodontal) Disease ?,Gum disease is caused by dental plaque -- a sticky film of bacteria that builds up on teeth. Regular brushing and flossing help get rid of plaque. But plaque that is not removed can harden and form tartar that brushing doesn't clean. Only a professional cleaning by a dentist or dental hygienist can remove tartar.,NIHSeniorHealth,Gum (Periodontal) Disease
What is (are) Hairy Cell Leukemia ?,"Key Points
                    - Hairy cell leukemia is a type of cancer in which the bone marrow makes too many lymphocytes (a type of white blood cell).    - Leukemia may affect red blood cells, white blood cells, and platelets.    - Gender and age may affect the risk of hairy cell leukemia.     - Signs and symptoms of hairy cell leukemia include infections, tiredness, and pain below the ribs.     - Tests that examine the blood and bone marrow are used to detect (find) and diagnose hairy cell leukemia.    - Certain factors affect treatment options and prognosis (chance of recovery).
                
                
                    Hairy cell leukemia is a type of cancer in which the bone marrow makes too many lymphocytes (a type of white blood cell).
                    Hairy cell leukemia is a cancer of the blood and bone marrow. This rare type of leukemia gets worse slowly or does not get worse at all. The disease is called hairy cell leukemia because the leukemia cells look ""hairy"" when viewed under a microscope.
                
                
                    Leukemia may affect red blood cells, white blood cells, and platelets.
                    Normally, the bone marrow makes blood stem cells (immature cells) that become mature blood cells over time. A blood stem cell may become a myeloid stem cell or a lymphoid stem cell.    A myeloid stem cell becomes one of three types of mature blood cells:         -  Red blood cells that carry oxygen and other substances to all tissues of the body.    -  White blood cells that fight infection and disease.    -  Platelets that form blood clots to stop bleeding.        A lymphoid stem cell becomes a lymphoblast cell and then into one of three types of lymphocytes (white blood cells):          -  B lymphocytes that make antibodies to help fight infection.    -  T lymphocytes that help B lymphocytes make antibodies to help fight infection.    -  Natural killer cells that attack cancer cells and viruses.         In hairy cell leukemia, too many blood stem cells become lymphocytes. These lymphocytes are abnormal and do not become healthy white blood cells. They are also called leukemia cells. The leukemia cells can build up in the blood and bone marrow so there is less room for healthy white blood cells, red blood cells, and platelets. This may cause infection, anemia, and easy bleeding. Some of the leukemia cells may collect in the spleen and cause it to swell.   This summary is about hairy cell leukemia. See the following PDQ summaries for information about other types of leukemia:         -  Adult Acute Lymphoblastic Leukemia Treatment.    -  Childhood Acute Lymphoblastic Leukemia Treatment.    -  Chronic Lymphocytic Leukemia Treatment.    -  Adult Acute Myeloid Leukemia Treatment.    -  Childhood Acute Myeloid Leukemia/Other Myeloid Malignancies Treatment.    -  Chronic Myelogenous Leukemia Treatment.",CancerGov,Hairy Cell Leukemia
What are the treatments for Heart Attack ?,"Heart attacks are a leading killer of both men and women in the United States. The good news is that excellent treatments are available for heart attacks. These treatments can save lives and prevent disabilities. Heart attack treatment works best when it's given right after symptoms occur. Act Fast The signs and symptoms of a heart attack can develop suddenly. However, they also can develop slowlysometimes within hours, days, or weeks of a heart attack. Know the warning signs of a heart attack so you can act fast to get treatment for yourself or someone else. The sooner you get emergency help, the less damage your heart will sustain. Call 911 for an ambulance right away if you think you or someone else may be having a heart attack. You also should call for help if your chest pain doesn't go away as it usually does when you take medicine prescribed for angina. Treatment May Start Right Away Treatment for a heart attack may begin in the ambulance or in the emergency department and continue in a special area of the hospital called a coronary care unit. Do not drive to the hospital or let someone else drive you. Call an ambulance so that medical personnel can begin life-saving treatment on the way to the emergency room. Restoring Blood Flow to the Heart The coronary care unit is specially equipped with monitors that continuously monitor your vital signs. These include - an EKG which detects any heart rhythm problems  - a blood pressure monitor, and  - pulse oximetry, which measures the amount of oxygen in the blood. an EKG which detects any heart rhythm problems a blood pressure monitor, and pulse oximetry, which measures the amount of oxygen in the blood. In the hospital, if you have had or are having a heart attack, doctors will work quickly to restore blood flow to your heart and continuously monitor your vital signs to detect and treat complications. Restoring blood flow to the heart can prevent or limit damage to the heart muscle and help prevent another heart attack. Doctors may use clot-busting drugs called thrombolytics and procedures such as angioplasty. - Clot-busters or thrombolytic drugs are used to dissolve blood clots that are blocking blood flow to the heart. When given soon after a heart attack begins, these drugs can limit or prevent permanent damage to the heart. To be most effective, these drugs must be given within one hour after the start of heart attack symptoms.   - Angioplasty procedures are used to open blocked or narrowed coronary arteries. A stent, which is a tiny metal mesh tube, may be placed in the artery to help keep it open. Some stents are coated with medicines that help prevent the artery from becoming blocked again.   - Coronary artery bypass surgery uses arteries or veins from other areas in your body to bypass your blocked coronary arteries.  Clot-busters or thrombolytic drugs are used to dissolve blood clots that are blocking blood flow to the heart. When given soon after a heart attack begins, these drugs can limit or prevent permanent damage to the heart. To be most effective, these drugs must be given within one hour after the start of heart attack symptoms. Angioplasty procedures are used to open blocked or narrowed coronary arteries. A stent, which is a tiny metal mesh tube, may be placed in the artery to help keep it open. Some stents are coated with medicines that help prevent the artery from becoming blocked again. Coronary artery bypass surgery uses arteries or veins from other areas in your body to bypass your blocked coronary arteries. Drug Treatments Many medications are used to treat heart attacks. They include beta blockers, ACE inhibitors, nitrates, anticoagulants, antiplatelet medications, and medications to relieve pain and anxiety. - Beta blockers slow your heart rate and reduce your heart's need for blood and oxygen. As a result, your heart beats with less force, and your blood pressure falls. Beta blockers are also used to relieve angina and prevent second heart attacks and correct an irregular heartbeat.  - Angiotensin-converting enzyme or ACE inhibitors lower your blood pressure and reduce the strain on your heart. They are used in some patients after a heart attack to help prevent further weakening of the heart and increase the chances of survival.  - Nitrates, such as nitroglycerin, relax blood vessels and relieve chest pain. Anticoagulants, such as heparin and warfarin, thin the blood and prevent clots from forming in your arteries.  - >Antiplatelet medications, such as aspirin and clopidogrel, stop platelets from clumping together to form clots. They are given to people who have had a heart attack, have angina, or have had an angioplasty.   - Glycoprotein llb-llla inhibitors are potent antiplatelet medications given intravenously to prevent clots from forming in your arteries. Beta blockers slow your heart rate and reduce your heart's need for blood and oxygen. As a result, your heart beats with less force, and your blood pressure falls. Beta blockers are also used to relieve angina and prevent second heart attacks and correct an irregular heartbeat. Angiotensin-converting enzyme or ACE inhibitors lower your blood pressure and reduce the strain on your heart. They are used in some patients after a heart attack to help prevent further weakening of the heart and increase the chances of survival. Nitrates, such as nitroglycerin, relax blood vessels and relieve chest pain. Anticoagulants, such as heparin and warfarin, thin the blood and prevent clots from forming in your arteries. >Antiplatelet medications, such as aspirin and clopidogrel, stop platelets from clumping together to form clots. They are given to people who have had a heart attack, have angina, or have had an angioplasty. Glycoprotein llb-llla inhibitors are potent antiplatelet medications given intravenously to prevent clots from forming in your arteries. Doctors may also prescribe medications to relieve pain and anxiety, or to treat irregular heart rhythms which often occur during a heart attack. Echocardiogram and Stress Tests While you are still in the hospital or after you go home, your doctor may order other tests, such as an echocardiogram. An echocardiogram uses ultrasound to make an image of the heart which can be seen on a video monitor. It shows how well the heart is filling with blood and pumping it to the rest of the body. Your doctor may also order a stress test to see how well your heart works when it has a heavy workload. You run on a treadmill or pedal a bicycle or receive medicine through a vein in your arm to make your heart work harder. EKG and blood pressure readings are taken before, during, and after the test to see how your heart responds. Often, an echocardiogram or nuclear scan of the heart is performed before and after exercise or intravenous medication. The test is stopped if chest pain or a very sharp rise or fall in blood pressure occurs. Monitoring continues for 10 to 15 minutes after the test or until your heart rate returns to baseline.",NIHSeniorHealth,Heart Attack
How to prevent Heart Disease in Women ?,"Taking action to control your risk factors can help prevent or delaycoronary heart disease(CHD). Your risk for CHD increases with the number of CHD risk factors you have.
                
One step you can take is to adopt a heart healthy lifestyle. A heart healthy lifestyle should be part of a lifelong approach to healthy living.
                
For example, if you smoke, try to quit. Smoking can raise your risk for CHD andheart attackand worsen other CHD risk factors. Talk with your doctor about programs and products that can help you quit. Also, try to avoid secondhand smoke.
                
For more information about quitting smoking, go to the Health Topics Smoking and Your Heart article and the National Heart, Lung, and Blood Institute's (NHLBI's) ""Your Guide to a Healthy Heart.""
                
Following a healthy diet also is an important part of a healthy lifestyle. A healthy diet includes a variety of vegetables and fruits. It also includes whole grains, fat-free or low-fat dairy products, and protein foods, such as lean meats, poultry without skin, seafood, processed soy products, nuts, seeds, beans, and peas.
                
A healthy diet is low in sodium (salt), added sugars, solid fats, and refined grains. Solid fats are saturated fat and trans fatty acids. Refined grains come from processing whole grains, which results in a loss of nutrients (such as dietary fiber).
                
The NHLBI's Therapeutic Lifestyle Changes (TLC) and Dietary Approaches to Stop Hypertension (DASH) are two programs that promote healthy eating.
                
If you'reoverweight or obese, work with your doctor to create a reasonable weight-loss plan. Controlling your weight helps you control CHD risk factors.
                
Be as physically active as you can. Physical activity can improve your fitness level and your health. Talk with your doctor about what types of activity are safe for you.
                
For more information about physical activity, go to the Health Topics Physical Activity and Your Heart article and the NHLBI's ""Your Guide to Physical Activity and Your Heart.""
                
Know your family history of CHD. If you or someone in your family has CHD, be sure to tell your doctor.
                
If lifestyle changes aren't enough, you also may need medicines to control your CHD risk factors. Take all of your medicines as prescribed.
                
For more information about lifestyle changes and medicines, go to ""How Is Heart Disease Treated?""",NHLBI,Heart Disease in Women
What is (are) Heart Failure ?,"In heart failure, the heart cannot pump enough blood to meet the body's needs. In some cases, the heart cannot fill with enough blood. In other cases, the heart can't pump blood to the rest of the body with enough force. Some people have both problems. Heart failure develops over time as the pumping action of the heart gets weaker. It can affect either the right, the left, or both sides of the heart. Heart failure does not mean that the heart has stopped working or is about to stop working. When heart failure affects the left side of the heart, the heart cannot pump enough oxygen-rich blood to the rest of the body. When heart failure affects the right side, the heart cannot pump enough blood to the lungs, where it picks up oxygen. The Heart's Pumping Action In normal hearts, blood vessels called veins bring oxygen-poor blood from the body to the right side of the heart. It is then pumped through the pulmonary artery to the lungs, picking up oxygen. From there, the blood returns to the left side of the heart. Then it is pumped through a large artery called the aorta that distributes blood throughout the body. When the heart is weakened by heart failure, blood and fluid can back up into the lungs, and fluid builds up in the feet, ankles, and legs. People with heart failure often experience tiredness and shortness of breath. Heart Failure is Serious Heart failure is a serious and common condition. Scientists estimate that 5 million people in the U.S. have heart failure and that number is growing. It contributes to 300,000 deaths each year. Heart failure is most common in those age 65 and older and it is the number one reason older people are hospitalized. Other Names for Heart Failure Heart failure can also be called congestive heart failure, systolic heart failure, diastolic heart failure, left-sided heart failure, or right-sided heart failure.",NIHSeniorHealth,Heart Failure
What is (are) Heart Palpitations ?,"Palpitations (pal-pi-TA-shuns) are feelings that your heart is skipping a beat, fluttering, or beating too hard or too fast. You may have these feelings in your chest, throat, or neck. They can occur during activity or even when you're sitting still or lying down.
                
Overview
                
Many things can trigger palpitations, including:
                
Strong emotions
                
Vigorous physical activity
                
Medicines such as diet pills and decongestants
                
Caffeine, alcohol, nicotine, and illegal drugs
                
Certain medical conditions, such as thyroid disease or anemia (uh-NEE-me-uh)
                
These factors can make the heart beat faster or stronger than usual, or they can cause premature (extra) heartbeats. In these situations, the heart is still working normally. Thus, these palpitations usually are harmless.
                
Some palpitations are symptoms of arrhythmias (ah-RITH-me-ahs). Arrhythmias are problems with the rate or rhythm of the heartbeat.
                
Some arrhythmias are signs of heart conditions, such as heart attack, heart failure, heart valve disease, or heart muscle disease. However, less than half of the people who have palpitations have arrhythmias.
                
You can take steps to reduce or prevent palpitations. Try to avoid things that trigger them (such as stress and stimulants) and treat related medical conditions.
                
Outlook
                
Palpitations are very common. They usually aren't serious or harmful, but they can be bothersome. If you have them, your doctor can decide whether you need treatment or ongoing care.",NHLBI,Heart Palpitations
What causes Heart Valve Disease ?,"Heart conditions and other disorders, age-related changes, rheumatic fever, or infections can cause acquired heart valve disease. These factors change the shape or flexibility of once-normal heart valves.
                
The cause of congenital heart valve disease isnt known. It occurs before birth as the heart is forming. Congenital heart valve disease can occur alone or with other types of congenital heartdefects.
                
Heart Conditions and Other Disorders
                
Certain conditions can stretch and distort the heart valves. These conditions include:
                
Advanced high blood pressure and heart failure, thiscan enlarge the heart or the main arteries.
                
Atherosclerosis in the aorta. Atherosclerosis is a condition in which a waxy substance called plaque builds up inside the arteries. The aorta is the main artery that carries oxygen-rich blood to the body.
                
Damage and scar tissue due to a heart attack or injury to the heart.
                
Rheumatic Fever
                
Untreated strep throat or other infections with strep bacteria that progress to rheumatic fever can cause heart valve disease.
                
When the body tries to fight the strep infection, one or more heart valves may be damaged or scarred in the process. The aortic and mitral valves most often are affected. Symptoms of heart valve damage often dont appear until many years after recovery from rheumatic fever.
                
Today, most people who have strep infections are treated with antibiotics before rheumatic fever occurs. If you have strep throat, take all of the antibiotics your doctor prescribes, even if you feel better before the medicine is gone.
                
Heart valve disease caused by rheumatic fever mainly affects older adults who had strep infections before antibiotics were available. It also affects people from developing countries, where rheumatic fever is more common.
                
Infections
                
Common germs that enter the bloodstream and get carried to the heart can sometimes infect the inner surface of the heart, including the heart valves. This rare but serious infection is called infective endocarditis.
                
The germs can enter the bloodstream through needles, syringes, or other medical devices and through breaks in the skin or gums. Often, the bodys defenses fight off the germs and no infection occurs. Sometimes these defenses fail, which leads to infective endocarditis.
                
Infective endocarditis can develop in people who already have abnormal blood flow through a heart valve as the result of congenital or acquired heart valve disease. The abnormal blood flow causes blood clots to form on the surface of the valve. The blood clots make it easier for germs to attach to and infect the valve.
                
Infective endocarditis can worsen existing heart valve disease.
                
Other Conditions and Factors Linked to Heart Valve Disease
                
Many other conditions and factors are linked to heart valve disease. However, the role they play in causing heart valve disease often isnt clear.
                
Autoimmune disorders. Autoimmune disorders, such as lupus, can affect the aortic and mitral valves.
                
Carcinoid syndrome. Tumors in the digestive tract that spread to the liver or lymph nodes can affect the tricuspid and pulmonary valves.
                
Diet medicines. The use of fenfluramine and phentermine (fen-phen) sometimes has been linked to heart valve problems. These problems typically stabilize or improve after the medicine is stopped.
                
Marfan syndrome. Congenital disorders, such as Marfan syndrome and other connective tissue disorders, can affect the heart valves.
                
Metabolic disorders. Relatively uncommon diseases (such as Fabry disease) and other metabolic disorders (such as high blood cholesterol) can affect the heart valves.
                
Radiation therapy. Radiation therapy to the chest area can cause heart valve disease. This therapy is used to treat cancer. Heart valve disease due to radiation therapy may not cause symptoms until years after the therapy.",NHLBI,Heart Valve Disease
Who is at risk for Hematuria (Blood in the Urine)? ?,"Almost anyone, including children and teens, can have hematuria. Factors that increase the chance a person will have hematuria include
                
- a family history of kidney disease  - an enlarged prostate, which typically occurs in men age 50 or older  - urinary stone disease  - certain medications including aspirin and other pain relievers, blood thinners, and antibiotics  - strenuous exercise such as long-distance running  - a recent bacterial or viral infection",NIDDK,Hematuria (Blood in the Urine)
What causes Hemochromatosis ?,"What causes hemochromatosis? The underlying cause of hemochromatosis depends on whether a person has a hereditary form, an acquired form, or the neonatal form. Hereditary hemochromatosis is caused by mutations in any of several genes: type 1 hemochromatosis - the HFE gene type 2 hemochromatosis - either the HFE2 or HAMP gene type 3 hemochromatosis - the TFR2 gene type 4 hemochromatosis - the SLC40A1 gene These genes give the body instructions to make proteins that help regulate how iron is absorbed, transported, and stored. Mutations in these genes impair how iron is absorbed during digestion and alter the distribution of iron throughout the body. This causes iron to accumulate in tissues and organs. Acquired hemochromatosis (or secondary hemochromatosis) is usually due to other blood-related disorders, such as thalassemia or certain anemias, or having many blood transfusions. Sometimes it occurs as a result of long-term alcoholism or other health conditions. The cause of neonatal hemochromatosis is not fully understood. However, a woman with an affected child has approximately an 80% chance to have another affected child. This likelihood of recurrence is not explained by normal inheritance patterns. Therefore, this form appears to be familial, but not inherited.",GARD,Hemochromatosis
What is (are) Hemolytic Anemia ?,"Hemolytic anemia (HEE-moh-lit-ick uh-NEE-me-uh) is a condition in which red blood cells are destroyed and removed from the bloodstream before their normal lifespan is over.
                
Red blood cells are disc-shaped and look like doughnuts without holes in the center. These cells carry oxygen to your body. They also remove carbon dioxide (a waste product) from your body.
                
Red blood cells are made in the bone marrowa sponge-like tissue inside the bones. They live for about 120 days in the bloodstream and then die.
                
White blood cells and platelets (PLATE-lets) also are made in the bone marrow. White blood cells help fight infections. Platelets stick together to seal small cuts or breaks on blood vessel walls and stop bleeding.
                
When blood cells die, the body's bone marrow makes more blood cells to replace them. However, in hemolytic anemia, the bone marrow can't make red blood cells fast enough to meet the body's needs.
                
Hemolytic anemia can lead to many health problems, such as fatigue (tiredness), pain, irregular heartbeats called arrhythmias (ah-RITH-me-ahs), an enlarged heart, and heart failure.
                
Overview
                
Hemolytic anemia is a type of anemia. The term ""anemia"" usually refers to a condition in which the blood has a lower than normal number of red blood cells.
                
Anemia also can occur if your red blood cells don't contain enough hemoglobin (HEE-muh-glow-bin). Hemoglobin is an iron-rich protein that carries oxygen from the lungs to the rest of the body.
                
Anemia has three main causes: blood loss, lack of red blood cell production, or high rates of red blood cell destruction.
                
Hemolytic anemia is caused by high rates of red blood cell destruction. Many diseases, conditions, and factors can cause the body to destroy its red blood cells.
                
These causes can be inherited or acquired. ""Inherited"" means your parents passed the gene(s) for the condition on to you. ""Acquired"" means you aren't born with the condition, but you develop it. Sometimes the cause of hemolytic anemia isn't known.
                
Outlook
                
There are many types of hemolytic anemia. Treatment and outlook depend on what type you have and how severe it is. The condition can develop suddenly or slowly. Symptoms can range from mild to severe.
                
Hemolytic anemia often can be successfully treated or controlled. Mild hemolytic anemia may need no treatment at all. Severe hemolytic anemia requires prompt and proper treatment, or it may be fatal.
                
Inherited forms of hemolytic anemia are lifelong conditions that may require ongoing treatment. Acquired forms of hemolytic anemia may go away if the cause of the condition is found and corrected.",NHLBI,Hemolytic Anemia
What is (are) Hemolytic Uremic Syndrome in Children ?,"Hemolytic uremic syndrome, or HUS, is a kidney condition that happens when red blood cells are destroyed and block the kidneys' filtering system. Red blood cells contain hemoglobinan iron-rich protein that gives blood its red color and carries oxygen from the lungs to all parts of the body.
                
When the kidneys and glomerulithe tiny units within the kidneys where blood is filteredbecome clogged with the damaged red blood cells, they are unable to do their jobs. If the kidneys stop functioning, a child can develop acute kidney injurythe sudden and temporary loss of kidney function. Hemolytic uremic syndrome is the most common cause of acute kidney injury in children.",NIDDK,Hemolytic Uremic Syndrome in Children
What are the treatments for Hemorrhoids ?,"At-home Treatments
                
Simple diet and lifestyle changes often reduce the swelling of hemorrhoids and relieve hemorrhoid symptoms. Eating a high-fiber diet can make stools softer and easier to pass, reducing the pressure on hemorrhoids caused by straining.
                
Fiber is a substance found in plants. The human body cannot digest fiber, but fiber helps improve digestion and prevent constipation. Good sources of dietary fiber are fruits, vegetables, and whole grains. On average, Americans eat about 15 grams of fiber each day.3 The American Dietetic Association recommends 25 grams of fiber per day for women and 38 grams of fiber per day for men.3
                
Doctors may also suggest taking a bulk stool softener or a fiber supplement such as psyllium (Metamucil) or methylcellulose (Citrucel).
                
Other changes that may help relieve hemorrhoid symptoms include
                
- drinking six to eight 8-ounce glasses of water or other nonalcoholic fluids each day  - sitting in a tub of warm water for 10 minutes several times a day  - exercising to prevent constipation  - not straining during bowel movements
                
Over-the-counter creams and suppositories may temporarily relieve the pain and itching of hemorrhoids. These treatments should only be used for a short time because long-term use can damage the skin.
                
Medical Treatment
                
If at-home treatments do not relieve symptoms, medical treatments may be needed. Outpatient treatments can be performed in a doctor's office or a hospital. Outpatient treatments for internal hemorrhoids include the following:
                
- Rubber band ligation. The doctor places a special rubber band around the base of the hemorrhoid. The band cuts off circulation, causing the hemorrhoid to shrink. This procedure should be performed only by a doctor.  - Sclerotherapy. The doctor injects a chemical solution into the blood vessel to shrink the hemorrhoid.  - Infrared coagulation. The doctor uses heat to shrink the hemorrhoid tissue.
                
Large external hemorrhoids or internal hemorrhoids that do not respond to other treatments can be surgically removed.",NIDDK,Hemorrhoids
What causes Henoch-Schnlein Purpura ?,"Henoch-Schnlein purpura is caused by an abnormal immune system response in which the bodys immune system attacks the bodys own cells and organs. Usually, the immune system makes antibodies, or proteins, to protect the body from foreign substances such as bacteria or viruses. In HSP, these antibodies attack the blood vessels. The factors that cause this immune system response are not known. However, in 30 to 50 percent of cases, people have an upper respiratory tract infection, such as a cold, before getting HSP.2 HSP has also been associated with
                
- infectious agents such as chickenpox, measles, hepatitis, and HIV viruses  - medications  - foods  - insect bites  - exposure to cold weather  - trauma
                
Genetics may increase the risk of HSP, as it has occurred in different members of the same family, including in twins.",NIDDK,Henoch-Schnlein Purpura
What are the symptoms of High Blood Pressure ?,"High blood pressure is often called the ""silent killer"" because you can have it for years without knowing it. The only way to find out if you have high blood pressure is to have your blood pressure measured. Complications When blood pressure stays high over time, it can damage the body and cause complications. Here are some of the common complications, along with their signs and symptoms. - Aneurysms.  These occur when an abnormal bulge forms in the wall of an artery. Aneurysms develop and grow for years without causing signs or symptoms until they rupture, grow large enough to press on nearby body parts, or block blood flow. The signs and symptoms that develop depend on the location of the aneurysm.  - Chronic Kidney Disease. This disease occurs when blood vessels narrow in the kidneys, possibly causing kidney failure.  - Cognitive Changes  Research shows that over time, higher blood pressure numbers can lead to cognitive changes. Signs and symptoms include memory loss, difficulty finding words, and losing focus during conversations.  - Eye Damage. This condition occurs when blood vessels in the eyes burst or bleed. Signs and symptoms include vision changes or blindness.  - Heart Attack. This occurs when the flow of oxygen-rich blood to a section of heart muscle suddenly becomes blocked and the heart doesnt get oxygen. The most common warning symptoms of a heart attack are chest pain or discomfort, upper body discomfort, and shortness of breath.  - Heart Failure. This condition occurs when the heart cant pump enough blood to meet the bodys needs. Common signs and symptoms of heart failure include shortness of breath or trouble breathing; feeling tired; and swelling in the ankles, feet, legs, abdomen, and veins in the neck.  - Peripheral Arterial Disease. This is a disease in which plaque builds up in leg arteries and affects blood flow in the legs. When people have symptoms, the most common are pain, cramping, numbness, aching, or heaviness in the legs, feet, and buttocks after walking or climbing stairs.  - Stroke. A stroke occurs when the flow of oxygen-rich blood to a portion of the brain is blocked. The symptoms of a stroke include sudden onset of weakness; paralysis or numbness of the face, arms, or legs; trouble speaking or understanding speech; and trouble seeing.  Aneurysms.  These occur when an abnormal bulge forms in the wall of an artery. Aneurysms develop and grow for years without causing signs or symptoms until they rupture, grow large enough to press on nearby body parts, or block blood flow. The signs and symptoms that develop depend on the location of the aneurysm. Chronic Kidney Disease. This disease occurs when blood vessels narrow in the kidneys, possibly causing kidney failure. Cognitive Changes  Research shows that over time, higher blood pressure numbers can lead to cognitive changes. Signs and symptoms include memory loss, difficulty finding words, and losing focus during conversations. Eye Damage. This condition occurs when blood vessels in the eyes burst or bleed. Signs and symptoms include vision changes or blindness. Heart Attack. This occurs when the flow of oxygen-rich blood to a section of heart muscle suddenly becomes blocked and the heart doesnt get oxygen. The most common warning symptoms of a heart attack are chest pain or discomfort, upper body discomfort, and shortness of breath. Heart Failure. This condition occurs when the heart cant pump enough blood to meet the bodys needs. Common signs and symptoms of heart failure include shortness of breath or trouble breathing; feeling tired; and swelling in the ankles, feet, legs, abdomen, and veins in the neck. Peripheral Arterial Disease. This is a disease in which plaque builds up in leg arteries and affects blood flow in the legs. When people have symptoms, the most common are pain, cramping, numbness, aching, or heaviness in the legs, feet, and buttocks after walking or climbing stairs. Stroke. A stroke occurs when the flow of oxygen-rich blood to a portion of the brain is blocked. The symptoms of a stroke include sudden onset of weakness; paralysis or numbness of the face, arms, or legs; trouble speaking or understanding speech; and trouble seeing. How Blood Pressure Is Checked Your health care provider usually takes 23 readings at several medical appointments to diagnose high blood pressure. Based on the results of your blood pressure test, your health care provider will diagnose prehypertension or high blood pressure if your systolic or diastolic readings are consistently higher than 120/80 mmHg. Once your health care provider determines the severity of your blood pressure, he or she can order additional tests to determine if your blood pressure is due to other conditions or medicines or if you have primary high blood pressure. Health care providers can use this information to develop your treatment plan. Some people have white coat hypertension. This happens when blood pressure readings are only high when taken in a health care providers office compared with readings taken in any other location. Researchers believe stress, which can occur during the medical appointment, causes white coat hypertension. Preparing for the Test A blood pressure test is easy and painless and can be done in a health care providers office or clinic. To prepare for the test - dont drink coffee or smoke cigarettes for 30 minutes prior to the test   - go to the bathroom before the test. A full bladder can change the reading   - sit for 5 minutes before the test. dont drink coffee or smoke cigarettes for 30 minutes prior to the test go to the bathroom before the test. A full bladder can change the reading sit for 5 minutes before the test. To track blood pressure readings over a period of time, the health care provider may ask you to come into the office on different days and at different times to take your blood pressure. The health care provider also may ask you to check readings at home or at other locations that have blood pressure equipment and to keep a written log of all your results. Whenever you have an appointment with the health care provider, be sure to bring your log of blood pressure readings. Ask the doctor or nurse to tell you your blood pressure reading in numbers and to explain what the numbers mean. Write down your numbers or ask the doctor or nurse to write them down for you. Write Down Your Readings Ask the doctor or nurse to tell you your blood pressure reading in numbers and to explain what the numbers mean. Write down your numbers or ask the doctor or nurse to write them down for you. (The wallet card on the right can be printed out and used to record your blood pressure numbers.) Checking Your Own Blood Pressure You can also check your blood pressure at home with a home blood pressure measurement device or monitor. It is important that the blood pressure cuff fits you properly and that you understand how to use the monitor. A cuff that is too small, for example, can give you a reading that is higher than your actual blood pressure. Your doctor, nurse, or pharmacist can help you check the cuff size and teach you how to use it correctly. You may also ask for their help in choosing the right blood pressure monitor for you. Blood pressure monitors can be bought at discount chain stores and drug stores. When you are taking your blood pressure at home, sit with your back supported and your feet flat on the floor. Rest your arm on a table at the level of your heart. After a Diagnosis If you're diagnosed with high blood pressure, your doctor will prescribe treatment. Your blood pressure will be tested again to see how the treatment affects it. Once your blood pressure is under control, you'll still need treatment. ""Under control"" means that your blood pressure numbers are in the normal range. Your doctor will likely recommend routine blood pressure tests. He or she can tell you how often you should be tested. The sooner you find out about high blood pressure and treat it, the better. Early treatment may help you avoid problems such as heart attack, stroke and kidney failure. See tips for talking with your doctor after you receive a medical diagnosis.",NIHSeniorHealth,High Blood Pressure
What is (are) Holt-Oram syndrome ?,"Holt-Oram syndrome is a genetic condition characterized by skeletal abnormalities of the hands and arms (upper limbs) and heart problems. Affected people have at least one bone abnormality in the wrist, many of which can be detected only by X-ray. Additional skeletal abnormalities may also be present. About 75% of affected people have heart problems, including congenital heart defects and/or cardiac conduction disease (an abnormality in the electrical system that coordinates contractions of the heart chambers). Holt-Oram syndrome is caused by mutations in the TBX5 gene and is inherited in an autosomal dominant manner. Most cases result from new mutations in the gene and occur in people with no family history of the condition.",GARD,Holt-Oram syndrome
What are the treatments for Huntington disease ?,"How might Huntington disease be treated? Unfortunately, there is currently no cure for Huntington disease (HD). The current goal of treatment is to slow down the course of the disease and help affected people function for as long and as comfortably as possible. Current treatment strategies involve the use of various medications to treat specific symptoms such as abnormal movements and behaviors. Depression and suicide are more common among affected people, so caregivers should monitor for associated symptoms and seek help if necessary. As symptoms of the disease worsen, affected people need more assistance, supervision, and care.",GARD,Huntington disease
